Sample,Signal_Strength,Cell_Type
SV40,42.52751058099269,HepG2
SV40,34.88148018851457,HepG2
SV40,22.464465265082268,HepG2
SV40,31.741396761133604,HepG2
SV40,36.905230544924365,HepG2
SV40,46.91657977059437,HepG2
Enhancer1,35.41512195121951,HepG2
Enhancer1,14.604389086595493,HepG2
Enhancer1,29.2036850921273,HepG2
Enhancer1,29.195133364529713,HepG2
Enhancer1,21.764586943963028,HepG2
Enhancer1,24.71138630890953,HepG2
Enhancer2,16.7844477281123,HepG2
Enhancer2,29.383572567783094,HepG2
Enhancer2,25.994217081850532,HepG2
Enhancer2,25.481717544448173,HepG2
Enhancer2,28.648369789517126,HepG2
Enhancer2,21.597801147227532,HepG2
Enhancer3,21.07826202498007,HepG2
Enhancer3,26.85192551075755,HepG2
Enhancer3,24.562137635492817,HepG2
Enhancer3,27.618220640569394,HepG2
Enhancer3,17.045051858254105,HepG2
Enhancer3,15.570913560016386,HepG2
Enhancer4,25.09647532729104,HepG2
Enhancer4,25.795384863643697,HepG2
Enhancer4,18.894972451790633,HepG2
Enhancer4,43.94882154882155,HepG2
Enhancer4,47.09783156833081,HepG2
Enhancer4,12.850403562482605,HepG2
Enhancer5,27.465291083271925,HepG2
Enhancer5,21.572617946345975,HepG2
Enhancer5,26.522258624012334,HepG2
Enhancer5,26.40658700087438,HepG2
Enhancer5,21.070431472081218,HepG2
Enhancer6,21.020381984036487,HepG2
Enhancer6,33.96203998840916,HepG2
Enhancer6,12.024990945309671,HepG2
Enhancer6,21.571728849185497,HepG2
Enhancer6,33.97371188222923,HepG2
Enhancer6,21.49705829916206,HepG2
PGL-pro,17.311038011695906,HepG2
PGL-pro,11.918091516039732,HepG2
PGL-pro,15.372490794631192,HepG2
PGL-pro,16.029119874640898,HepG2
PGL-pro,18.327132013692513,HepG2
PGL-pro,11.769658351409978,HepG2
Inhibitor1,7.2563366810138685,HepG2
Inhibitor1,18.900791802515137,HepG2
Inhibitor1,14.956994114984155,HepG2
Inhibitor1,18.2159148504815,HepG2
Inhibitor1,15.065479609419874,HepG2
Inhibitor1,9.845707656612529,HepG2
Inhibitor2,17.220338983050848,HepG2
Inhibitor2,19.945129810348003,HepG2
Inhibitor2,13.838565022421525,HepG2
Inhibitor2,16.22138836772983,HepG2
